ticker,date,open,high,low,close,volume,last_updated_at
CLPI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MREI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
IMPC.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CFIN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
NSSS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SMDR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
NICE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ISSP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SGER.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BPFI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ENRG.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MKAP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AIMS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
OBAT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
WOOD.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DMMX.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
GPSO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PBSA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
JARR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
KKGI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PWON.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SMRA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PTMR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
WINS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MBMA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
KOPI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BRMS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
UNIQ.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
RALS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
RSCH.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MIDI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DOID.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
IRRA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AVIA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DKFT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PTPP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PSAB.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AREA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
LPGI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SIMP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DGWG.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MICE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ELSA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
EMTK.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BJTM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SIDO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TOWR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MSIN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
UCID.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PDPP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ERAA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MMLP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
RMKE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ACES.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MTEL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MTDL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SNLK.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MINE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ARCI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TPMA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
HRTA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ARNA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ESSA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
JIHD.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BIKE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
HMSP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MAIN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ALII.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TEBE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
VICI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MAPA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
FORE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
NCKL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SPTO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BHAT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CLEO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TOTL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MGRO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
KAEF.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
POWR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BBLD.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
